HCPC,SHORT DESCRIPTION,LONG DESCRIPTION
C9759,Transcath intraop microinf,"Transcatheter intraoperative blood vessel microinfusion(s) (e.g., intraluminal, vascular wall and/or perivascular) therapy, any vessel, including radiological supervision and interpretation, when performed"
C9760,Non-blind interatrial shunt,"Non-randomized, non-blinded procedure for nyha class ii, iii, iv heart failure; transcatheter implantation of interatrial shunt, including right and left heart catheterization, transeptal puncture, trans-esophageal echocardiography (tee)/intracardiac echo"
C9761,"Cysto, litho, vacuum kidney","Cystourethroscopy, with ureteroscopy and/or pyeloscopy, with lithotripsy, and ureteral catheterization for steerable vacuum aspiration of the kidney, collecting system, ureter, bladder, and urethra if applicable"
C9762,Cardiac mri seg dys strain,"Cardiac magnetic resonance imaging for morphology and function, quantification of segmental dysfunction; with strain imaging"
C9763,Cardiac mri seg dys stress,"Cardiac magnetic resonance imaging for morphology and function, quantification of segmental dysfunction; with stress imaging"
C9764,Revasc intravasc lithotripsy,"Revascularization, endovascular, open or percutaneous, lower extremity artery(ies), except tibial/peroneal; with intravascular lithotripsy, includes angioplasty within the same vessel(s), when performed"
C9765,Revasc intra lithotrip-stent,"Revascularization, endovascular, open or percutaneous, lower extremity artery(ies), except tibial/peroneal; with intravascular lithotripsy, and transluminal stent placement(s), includes angioplasty within the same vessel(s), when performed"
C9766,Revasc intra lithotrip-ather,"Revascularization, endovascular, open or percutaneous, lower extremity artery(ies), except tibial/peroneal; with intravascular lithotripsy and atherectomy, includes angioplasty within the same vessel(s), when performed"
C9767,Revasc lithotrip-stent-ather,"Revascularization, endovascular, open or percutaneous, lower extremity artery(ies), except tibial/peroneal; with intravascular lithotripsy and transluminal stent placement(s), and atherectomy, includes angioplasty within the same vessel(s), when performed"
C9768,Endo us-guide hep porto grad,Endoscopic ultrasound-guided direct measurement of hepatic portosystemic pressure gradient by any method (list separately in addition to code for primary procedure)
C9769,Cysto w/temp pros implant,"Cystourethroscopy, with insertion of temporary prostatic implant/stent with fixation/anchor and incisional struts"
C9770,"Vitrec/mech pars, subret inj","Vitrectomy, mechanical, pars plana approach, with subretinal injection of pharmacologic/biologic agent"
C9771,Nsl/sins cryo post nasal tis,"Nasal/sinus endoscopy, cryoablation nasal tissue(s) and/or nerve(s), unilateral or bilateral"
C9772,Revasc lithotrip tibi/perone,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery(ies), with intravascular lithotripsy, includes angioplasty within the same vessel (s), when performed"
C9773,Revasc lithotr-stent tib/per,"Revascularization, endovascular, open or percutaneous,  tibial/peroneal artery(ies); with intravascular lithotripsy, and transluminal stent placement(s), includes angioplasty  within the same vessel(s), when performed"
C9774,Revasc lithotr-ather tib/per,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery(ies); with intravascular lithotripsy and atherectomy, includes angioplasty within the same vessel (s), when performed"
C9775,Revasc lith-sten-ath tib/per,"Revascularization, endovascular, open or percutaneous, tibial/peroneal artery(ies); with intravascular lithotripsy and transluminal stent placement(s), and atherectomy, includes angioplasty within the same vessel (s), when performed"
C9776,Fluo bile duct imaging w/icg,"Intraoperative near-infrared fluorescence imaging of major extra-hepatic bile duct(s) (e.g., cystic duct, common bile duct and common hepatic duct) with intravenous administration of indocyanine green (icg) (list separately in addition to code for primary"
C9777,Esophag mucosal integ add-on,"Esophageal mucosal integrity testing by electrical impedance, transoral (list separately in addition to code for primary procedure)"
C9800,Dermal filler inj px/suppl,"Dermal injection procedure(s) for facial lipodystrophy syndrome (lds) and provision of radiesse or sculptra dermal filler, including all items and supplies"
C9803,Hopd covid-19 spec collect,"Hospital outpatient clinic visit specimen collection for severe acute respiratory syndrome coronavirus  2 (sars-cov-2) (coronavirus disease [covid-19]), any specimen source"
C9898,Inpnt stay radiolabeled item,Radiolabeled product provided during a hospital inpatient stay
C9899,"Inpt implant pros dev,no cov","Implanted prosthetic device, payable only for inpatients who do not have inpatient coverage"
E0100,Cane adjust/fixed with tip,"Cane, includes canes of all materials, adjustable or fixed, with tip"
E0105,Cane adjust/fixed quad/3 pro,"Cane, quad or three prong, includes canes of all materials, adjustable or fixed, with tips"
E0110,Crutch forearm pair,"Crutches, forearm, includes crutches of various materials, adjustable or fixed, pair, complete with tips and handgrips"
E0111,Crutch forearm each,"Crutch forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips"
E0112,Crutch underarm pair wood,"Crutches underarm, wood, adjustable or fixed, pair, with pads, tips and handgrips"
E0113,Crutch underarm each wood,"Crutch underarm, wood, adjustable or fixed, each, with pad, tip and handgrip"
E0114,Crutch underarm pair no wood,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips"
E0116,Crutch underarm each no wood,"Crutch, underarm, other than wood, adjustable or fixed, with pad, tip, handgrip, with or without shock absorber, each"
E0117,Underarm springassist crutch,"Crutch, underarm, articulating, spring assisted, each"
E0118,Crutch substitute,"Crutch substitute, lower leg platform, with or without wheels, each"
E0130,Walker rigid adjust/fixed ht,"Walker, rigid (pickup), adjustable or fixed height"
E0135,Walker folding adjust/fixed,"Walker, folding (pickup), adjustable or fixed height"
E0140,Walker w trunk support,"Walker, with trunk support, adjustable or fixed height, any type"
E0141,Rigid wheeled walker adj/fix,"Walker, rigid, wheeled, adjustable or fixed height"
E0143,Walker folding wheeled w/o s,"Walker, folding, wheeled, adjustable or fixed height"
E0144,Enclosed walker w rear seat,"Walker, enclosed, four sided framed, rigid or folding, wheeled with posterior seat"
E0147,Walker variable wheel resist,"Walker, heavy duty, multiple braking system, variable wheel resistance"
E0148,Heavyduty walker no wheels,"Walker, heavy duty, without wheels, rigid or folding, any type, each"
E0149,Heavy duty wheeled walker,"Walker, heavy duty, wheeled, rigid or folding, any type"
E0153,Forearm crutch platform atta,"Platform attachment, forearm crutch, each"
E0154,Walker platform attachment,"Platform attachment, walker, each"
E0155,"Walker wheel attachment,pair","Wheel attachment, rigid pick-up walker, per pair"
E0156,Walker seat attachment,"Seat attachment, walker"
E0157,Walker crutch attachment,"Crutch attachment, walker, each"
E0158,Walker leg extenders set of4,"Leg extensions for walker, per set of four (4)"
E0159,Brake for wheeled walker,"Brake attachment for wheeled walker, replacement, each"
E0160,Sitz type bath or equipment,"Sitz type bath or equipment, portable, used with or without commode"
E0161,Sitz bath/equipment w/faucet,"Sitz type bath or equipment, portable, used with or without commode, with faucet attachment/s"
E0162,Sitz bath chair,Sitz bath chair
E0163,Commode chair with fixed arm,"Commode chair, mobile or stationary, with fixed arms"
E0165,Commode chair with detacharm,"Commode chair, mobile or stationary, with detachable arms"
E0167,Commode chair pail or pan,"Pail or pan for use with commode chair, replacement only"
E0168,Heavyduty/wide commode chair,"Commode chair, extra wide and/or heavy duty, stationary or mobile, with or without arms, any type, each"
E0170,Commode chair electric,"Commode chair with integrated seat lift mechanism, electric, any type"
E0171,Commode chair non-electric,"Commode chair with integrated seat lift mechanism, non-electric, any type"
E0172,Seat lift mechanism toilet,"Seat lift mechanism placed over or on top of toilet, any type"
E0175,Commode chair foot rest,"Foot rest, for use with commode chair, each"
E0181,Press pad alternating w/ pum,"Powered pressure reducing mattress overlay/pad, alternating, with pump, includes heavy duty"
E0182,"Replace pump, alt press pad","Pump for alternating pressure pad, for replacement only"
E0184,Dry pressure mattress,Dry pressure mattress
E0185,Gel pressure mattress pad,"Gel or gel-like pressure pad for mattress, standard mattress length and width"
E0186,Air pressure mattress,Air pressure mattress
E0187,Water pressure mattress,Water pressure mattress
E0188,Synthetic sheepskin pad,Synthetic sheepskin pad
E0189,Lambswool sheepskin pad,"Lambswool sheepskin pad, any size"
E0190,Positioning cushion,"Positioning cushion/pillow/wedge, any shape or size, includes all components and accessories"
E0191,Protector heel or elbow,"Heel or elbow protector, each"
E0193,Powered air flotation bed,Powered air flotation bed (low air loss therapy)
E0194,Air fluidized bed,Air fluidized bed
E0196,Gel pressure mattress,Gel pressure mattress
E0197,Air pressure pad for mattres,"Air pressure pad for mattress, standard mattress length and width"
E0198,Water pressure pad for mattr,"Water pressure pad for mattress, standard mattress length and width"
E0199,Dry pressure pad for mattres,"Dry pressure pad for mattress, standard mattress length and width"
E0200,Heat lamp without stand,"Heat lamp, without stand (table model), includes bulb, or infrared element"
E0202,Phototherapy light w/ photom,Phototherapy (bilirubin) light with photometer
E0203,Therapeutic lightbox tabletp,"Therapeutic lightbox, minimum 10,000 lux, table top model"
E0205,Heat lamp with stand,"Heat lamp, with stand, includes bulb, or infrared element"
E0210,Electric heat pad standard,"Electric heat pad, standard"
E0215,Electric heat pad moist,"Electric heat pad, moist"
E0217,Water circ heat pad w pump,Water circulating heat pad with pump
E0218,Fluid circ cold pad w pump,"Fluid circulating cold pad with pump, any type"
E0221,Infrared heating pad system,Infrared heating pad system
E0225,Hydrocollator unit,"Hydrocollator unit, includes pads"
E0231,Wound warming device,"Non-contact wound warming device (temperature control unit, ac adapter and power cord) for use with warming card and wound cover"
E0232,Warming card for nwt,Warming card for use with the non contact wound warming device and non contact wound warming wound cover
E0235,Paraffin bath unit portable,"Paraffin bath unit, portable (see medical supply code a4265 for paraffin)"
E0236,Pump for water circulating p,Pump for water circulating pad
E0239,Hydrocollator unit portable,"Hydrocollator unit, portable"
E0240,Bath/shower chair,"Bath/shower chair, with or without wheels, any size"
E0241,Bath tub wall rail,"Bath tub wall rail, each"
E0242,Bath tub rail floor,"Bath tub rail, floor base"
E0243,Toilet rail,"Toilet rail, each"
E0244,Toilet seat raised,Raised toilet seat
E0245,Tub stool or bench,Tub stool or bench
E0246,Transfer tub rail attachment,Transfer tub rail attachment
E0247,Trans bench w/wo comm open,Transfer bench for tub or toilet with or without commode opening
E0248,Hdtrans bench w/wo comm open,"Transfer bench, heavy duty, for tub or toilet with or without commode opening"
E0249,Pad water circulating heat u,"Pad for water circulating heat unit, for replacement only"
E0250,Hosp bed fixed ht w/ mattres,"Hospital bed, fixed height, with any type side rails, with mattress"
E0251,Hosp bed fixd ht w/o mattres,"Hospital bed, fixed height, with any type side rails, without mattress"
E0255,Hospital bed var ht w/ mattr,"Hospital bed, variable height, hi-lo, with any type side rails, with mattress"
E0256,Hospital bed var ht w/o matt,"Hospital bed, variable height, hi-lo, with any type side rails, without mattress"
E0260,Hosp bed semi-electr w/ matt,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress"
E0261,Hosp bed semi-electr w/o mat,"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, without mattress"
E0265,Hosp bed total electr w/ mat,"Hospital bed, total electric (head, foot and height adjustments), with any type side rails, with mattress"
E0266,Hosp bed total elec w/o matt,"Hospital bed, total electric (head, foot and height adjustments), with any type side rails, without mattress"
E0270,Hospital bed institutional t,"Hospital bed, institutional type includes: oscillating, circulating and stryker frame, with mattress"
E0271,Mattress innerspring,"Mattress, innerspring"
E0272,Mattress foam rubber,"Mattress, foam rubber"
E0273,Bed board,Bed board
E0274,Over-bed table,Over-bed table
E0275,Bed pan standard,"Bed pan, standard, metal or plastic"
E0276,Bed pan fracture,"Bed pan, fracture, metal or plastic"
E0277,Powered pres-redu air mattrs,Powered pressure-reducing air mattress
E0280,Bed cradle,"Bed cradle, any type"
E0290,Hosp bed fx ht w/o rails w/m,"Hospital bed, fixed height, without side rails, with mattress"
E0291,Hosp bed fx ht w/o rail w/o,"Hospital bed, fixed height, without side rails, without mattress"
E0292,Hosp bed var ht no sr w/matt,"Hospital bed, variable height, hi-lo, without side rails, with mattress"
